,Year,Month,Day,DateTime,ResolutionCode,areacode,AreaTypeCode,AreaName,MapCode,ProductionType,AggregatedInstalledCapacity,DeletedFlag,UpdateTime
454,2018,1,1,2018-01-01 00:00:00.000,P1Y,10YBE----------2,BZN,Elia BZ,BE,Nuclear,5931.0,0,2020-01-23 09:20:20
449,2018,1,1,2018-01-01 00:00:00.000,P1Y,10YBE----------2,BZN,Elia BZ,BE,Wind Offshore,1178.2,0,2018-09-16 11:04:22
453,2018,1,1,2018-01-01 00:00:00.000,P1Y,10YBE----------2,BZN,Elia BZ,BE,Waste,361.84,0,2020-01-23 09:20:17
462,2018,1,1,2018-01-01 00:00:00.000,P1Y,10YBE----------2,BZN,Elia BZ,BE,Hydro Pumped Storage,1308.0,0,2017-12-16 11:03:49
455,2018,1,1,2018-01-01 00:00:00.000,P1Y,10YBE----------2,BZN,Elia BZ,BE,Solar,2952.78,0,2020-01-23 09:20:16
457,2018,1,1,2018-01-01 00:00:00.000,P1Y,10YBE----------2,BZN,Elia BZ,BE,Hydro Run-of-river and poundage,178.93,0,2018-07-17 11:34:37
459,2018,1,1,2018-01-01 00:00:00.000,P1Y,10YBE----------2,BZN,Elia BZ,BE,Biomass,698.8,0,2020-01-23 09:20:16
461,2018,1,1,2018-01-01 00:00:00.000,P1Y,10YBE----------2,BZN,Elia BZ,BE,Wind Onshore,1978.99,0,2018-07-17 11:34:37
447,2018,1,1,2018-01-01 00:00:00.000,P1Y,10YBE----------2,BZN,Elia BZ,BE,Fossil Gas,6545.36,0,2020-01-23 09:20:16
445,2018,1,1,2018-01-01 00:00:00.000,P1Y,10YBE----------2,BZN,Elia BZ,BE,Fossil Oil,329.87,0,2020-01-23 09:20:17
438,2019,1,1,2019-01-01 00:00:00.000,P1Y,10YBE----------2,BZN,Elia BZ,BE,Wind Offshore,1548.2,0,2019-06-16 11:02:40
1129,2019,1,1,2019-01-01 00:00:00.000,P1Y,10YBE----------2,BZN,Elia BZ,BE,Fossil Hard coal,470.0,0,2020-01-23 09:33:48
435,2019,1,1,2019-01-01 00:00:00.000,P1Y,10YBE----------2,BZN,Elia BZ,BE,Solar,3369.05,0,2020-01-23 09:33:47
434,2019,1,1,2019-01-01 00:00:00.000,P1Y,10YBE----------2,BZN,Elia BZ,BE,Fossil Gas,6649.36,0,2020-01-23 09:33:47
433,2019,1,1,2019-01-01 00:00:00.000,P1Y,10YBE----------2,BZN,Elia BZ,BE,Waste,361.84,0,2018-12-16 11:17:03
432,2019,1,1,2019-01-01 00:00:00.000,P1Y,10YBE----------2,BZN,Elia BZ,BE,Hydro Run-of-river and poundage,180.57,0,2020-01-23 09:33:48
429,2019,1,1,2019-01-01 00:00:00.000,P1Y,10YBE----------2,BZN,Elia BZ,BE,Wind Onshore,2248.08,0,2019-11-16 11:18:37
428,2019,1,1,2019-01-01 00:00:00.000,P1Y,10YBE----------2,BZN,Elia BZ,BE,Hydro Pumped Storage,1308.0,0,2018-12-16 11:17:03
427,2019,1,1,2019-01-01 00:00:00.000,P1Y,10YBE----------2,BZN,Elia BZ,BE,Fossil Oil,333.48,0,2019-10-16 11:18:45
442,2019,1,1,2019-01-01 00:00:00.000,P1Y,10YBE----------2,BZN,Elia BZ,BE,Biomass,708.28,0,2020-01-23 09:33:48
1093,2019,1,1,2019-01-01 00:00:00.000,P1Y,10YBE----------2,BZN,Elia BZ,BE,Other,18.5,0,2019-11-16 11:18:37
423,2019,1,1,2019-01-01 00:00:00.000,P1Y,10YBE----------2,BZN,Elia BZ,BE,Nuclear,5931.0,0,2019-04-16 11:18:05
400,2020,1,1,2020-01-01 00:00:00.000,P1Y,10YBE----------2,BZN,Elia BZ,BE,Hydro Pumped Storage,1308.0,0,2019-12-16 11:18:11
399,2020,1,1,2020-01-01 00:00:00.000,P1Y,10YBE----------2,BZN,Elia BZ,BE,Fossil Hard coal,470.0,0,2019-12-16 11:18:11
396,2020,1,1,2020-01-01 00:00:00.000,P1Y,10YBE----------2,BZN,Elia BZ,BE,Fossil Gas,6777.15,0,2020-04-16 12:46:17
394,2020,1,1,2020-01-01 00:00:00.000,P1Y,10YBE----------2,BZN,Elia BZ,BE,Other,18.5,0,2019-12-16 11:18:11
393,2020,1,1,2020-01-01 00:00:00.000,P1Y,10YBE----------2,BZN,Elia BZ,BE,Wind Onshore,2248.08,0,2019-12-16 11:18:11
392,2020,1,1,2020-01-01 00:00:00.000,P1Y,10YBE----------2,BZN,Elia BZ,BE,Biomass,759.01,0,2020-06-16 11:18:38
391,2020,1,1,2020-01-01 00:00:00.000,P1Y,10YBE----------2,BZN,Elia BZ,BE,Solar,3886.6,0,2020-01-23 09:33:49
389,2020,1,1,2020-01-01 00:00:00.000,P1Y,10YBE----------2,BZN,Elia BZ,BE,Wind Offshore,1671.7,0,2020-05-16 11:17:45
387,2020,1,1,2020-01-01 00:00:00.000,P1Y,10YBE----------2,BZN,Elia BZ,BE,Hydro Run-of-river and poundage,180.44,0,2020-02-16 11:19:09
384,2020,1,1,2020-01-01 00:00:00.000,P1Y,10YBE----------2,BZN,Elia BZ,BE,Waste,361.84,0,2019-12-16 11:18:11
403,2020,1,1,2020-01-01 00:00:00.000,P1Y,10YBE----------2,BZN,Elia BZ,BE,Nuclear,5931.0,0,2019-12-16 11:18:11
381,2020,1,1,2020-01-01 00:00:00.000,P1Y,10YBE----------2,BZN,Elia BZ,BE,Fossil Oil,341.24,0,2020-03-16 11:21:48
