Unnamed: 0,Year,Month,Day,DateTime,ResolutionCode,areacode,AreaTypeCode,AreaName,MapCode,RegisterItemTypeName,LoadUpPrice,LoadDownPrice,GenerationUpPrice,GenerationDownPrice,NotSpecifiedUpPrice,NotSpecifiedDownPrice,PriceType,Currency,UpdateTime
83192,2019,5,14,2019-05-14 22:00:00.000,PT60M,10Y1001A1001A46L,MBA,SE3 MBA,SE3,Automatic Frequency Restoration Reserve (aFRR),,,,,37.1,37.1,AVERAGE,EUR,2019-05-15 15:16:01
83193,2019,5,14,2019-05-14 23:00:00.000,PT60M,10Y1001A1001A46L,MBA,SE3 MBA,SE3,Automatic Frequency Restoration Reserve (aFRR),,,,,38.92,38.92,AVERAGE,EUR,2019-05-15 15:16:01
83206,2019,5,15,2019-05-15 00:00:00.000,PT60M,10Y1001A1001A46L,MBA,SE3 MBA,SE3,Automatic Frequency Restoration Reserve (aFRR),,,,,39.04,39.04,AVERAGE,EUR,2019-05-15 15:16:01
83207,2019,5,15,2019-05-15 01:00:00.000,PT60M,10Y1001A1001A46L,MBA,SE3 MBA,SE3,Automatic Frequency Restoration Reserve (aFRR),,,,,41.0,39.11,AVERAGE,EUR,2019-05-15 15:16:01
83208,2019,5,15,2019-05-15 02:00:00.000,PT60M,10Y1001A1001A46L,MBA,SE3 MBA,SE3,Automatic Frequency Restoration Reserve (aFRR),,,,,41.0,34.99,AVERAGE,EUR,2019-05-15 15:16:01
83209,2019,5,15,2019-05-15 03:00:00.000,PT60M,10Y1001A1001A46L,MBA,SE3 MBA,SE3,Automatic Frequency Restoration Reserve (aFRR),,,,,41.69,40.69,AVERAGE,EUR,2019-05-15 15:16:01
83210,2019,5,15,2019-05-15 04:00:00.000,PT60M,10Y1001A1001A46L,MBA,SE3 MBA,SE3,Automatic Frequency Restoration Reserve (aFRR),,,,,42.91,42.91,AVERAGE,EUR,2019-05-15 15:16:01
83211,2019,5,15,2019-05-15 05:00:00.000,PT60M,10Y1001A1001A46L,MBA,SE3 MBA,SE3,Automatic Frequency Restoration Reserve (aFRR),,,,,46.71,46.71,AVERAGE,EUR,2019-05-15 15:16:01
83212,2019,5,15,2019-05-15 06:00:00.000,PT60M,10Y1001A1001A46L,MBA,SE3 MBA,SE3,Automatic Frequency Restoration Reserve (aFRR),,,,,48.12,48.12,AVERAGE,EUR,2019-05-15 15:16:01
83213,2019,5,15,2019-05-15 07:00:00.000,PT60M,10Y1001A1001A46L,MBA,SE3 MBA,SE3,Automatic Frequency Restoration Reserve (aFRR),,,,,46.62,40.5,AVERAGE,EUR,2019-05-15 15:16:01
83214,2019,5,15,2019-05-15 08:00:00.000,PT60M,10Y1001A1001A46L,MBA,SE3 MBA,SE3,Automatic Frequency Restoration Reserve (aFRR),,,,,46.31,40.5,AVERAGE,EUR,2019-05-15 15:16:01
83215,2019,5,15,2019-05-15 09:00:00.000,PT60M,10Y1001A1001A46L,MBA,SE3 MBA,SE3,Automatic Frequency Restoration Reserve (aFRR),,,,,46.23,41.0,AVERAGE,EUR,2019-05-15 15:16:01
83216,2019,5,15,2019-05-15 10:00:00.000,PT60M,10Y1001A1001A46L,MBA,SE3 MBA,SE3,Automatic Frequency Restoration Reserve (aFRR),,,,,46.2,41.0,AVERAGE,EUR,2019-05-15 15:16:01
83217,2019,5,15,2019-05-15 11:00:00.000,PT60M,10Y1001A1001A46L,MBA,SE3 MBA,SE3,Automatic Frequency Restoration Reserve (aFRR),,,,,44.98,44.98,AVERAGE,EUR,2019-05-15 15:16:01
56296,2019,5,15,2019-05-15 12:00:00.000,PT60M,10Y1001A1001A46L,MBA,SE3 MBA,SE3,Automatic Frequency Restoration Reserve (aFRR),,,,,43.68,38.5,AVERAGE,EUR,2019-05-15 17:45:55
56297,2019,5,15,2019-05-15 13:00:00.000,PT60M,10Y1001A1001A46L,MBA,SE3 MBA,SE3,Automatic Frequency Restoration Reserve (aFRR),,,,,42.49,38.5,AVERAGE,EUR,2019-05-15 18:45:57
56298,2019,5,15,2019-05-15 14:00:00.000,PT60M,10Y1001A1001A46L,MBA,SE3 MBA,SE3,Automatic Frequency Restoration Reserve (aFRR),,,,,42.15,37.15,AVERAGE,EUR,2019-05-15 19:45:57
56574,2019,5,15,2019-05-15 15:00:00.000,PT60M,10Y1001A1001A46L,MBA,SE3 MBA,SE3,Automatic Frequency Restoration Reserve (aFRR),,,,,42.46,37.23,AVERAGE,EUR,2019-05-15 20:46:00
56681,2019,5,15,2019-05-15 16:00:00.000,PT60M,10Y1001A1001A46L,MBA,SE3 MBA,SE3,Automatic Frequency Restoration Reserve (aFRR),,,,,43.06,37.12,AVERAGE,EUR,2019-05-15 22:45:54
56791,2019,5,15,2019-05-15 17:00:00.000,PT60M,10Y1001A1001A46L,MBA,SE3 MBA,SE3,Automatic Frequency Restoration Reserve (aFRR),,,,,43.16,38.5,AVERAGE,EUR,2019-05-15 22:45:54
62544,2019,5,15,2019-05-15 18:00:00.000,PT60M,10Y1001A1001A46L,MBA,SE3 MBA,SE3,Automatic Frequency Restoration Reserve (aFRR),,,,,42.95,38.5,AVERAGE,EUR,2019-05-15 22:45:54
62545,2019,5,15,2019-05-15 19:00:00.000,PT60M,10Y1001A1001A46L,MBA,SE3 MBA,SE3,Automatic Frequency Restoration Reserve (aFRR),,,,,42.45,36.8,AVERAGE,EUR,2019-05-15 23:45:55
62663,2019,5,15,2019-05-15 20:00:00.000,PT60M,10Y1001A1001A46L,MBA,SE3 MBA,SE3,Automatic Frequency Restoration Reserve (aFRR),,,,,42.13,37.0,AVERAGE,EUR,2019-05-16 01:45:55
5191,2019,5,15,2019-05-15 21:00:00.000,PT60M,10Y1001A1001A46L,MBA,SE3 MBA,SE3,Automatic Frequency Restoration Reserve (aFRR),,,,,38.06,32.64,AVERAGE,EUR,2019-05-16 01:45:55
57562,2019,5,15,2019-05-15 22:00:00.000,PT60M,10Y1001A1001A46L,MBA,SE3 MBA,SE3,Automatic Frequency Restoration Reserve (aFRR),,,,,33.67,33.5,AVERAGE,EUR,2019-05-16 04:45:59
57563,2019,5,15,2019-05-15 23:00:00.000,PT60M,10Y1001A1001A46L,MBA,SE3 MBA,SE3,Automatic Frequency Restoration Reserve (aFRR),,,,,33.67,33.5,AVERAGE,EUR,2019-05-16 04:45:59
57564,2019,5,16,2019-05-16 00:00:00.000,PT60M,10Y1001A1001A46L,MBA,SE3 MBA,SE3,Automatic Frequency Restoration Reserve (aFRR),,,,,33.19,33.19,AVERAGE,EUR,2019-05-16 04:45:59
57565,2019,5,16,2019-05-16 01:00:00.000,PT60M,10Y1001A1001A46L,MBA,SE3 MBA,SE3,Automatic Frequency Restoration Reserve (aFRR),,,,,31.3,31.3,AVERAGE,EUR,2019-05-16 06:45:57
57809,2019,5,16,2019-05-16 02:00:00.000,PT60M,10Y1001A1001A46L,MBA,SE3 MBA,SE3,Automatic Frequency Restoration Reserve (aFRR),,,,,25.68,25.68,AVERAGE,EUR,2019-05-16 06:45:57
57810,2019,5,16,2019-05-16 03:00:00.000,PT60M,10Y1001A1001A46L,MBA,SE3 MBA,SE3,Automatic Frequency Restoration Reserve (aFRR),,,,,36.01,34.69,AVERAGE,EUR,2019-05-16 07:45:55
22364,2019,5,16,2019-05-16 04:00:00.000,PT60M,10Y1001A1001A46L,MBA,SE3 MBA,SE3,Automatic Frequency Restoration Reserve (aFRR),,,,,41.63,37.0,AVERAGE,EUR,2019-05-16 09:45:58
33805,2019,5,16,2019-05-16 05:00:00.000,PT60M,10Y1001A1001A46L,MBA,SE3 MBA,SE3,Automatic Frequency Restoration Reserve (aFRR),,,,,42.82,38.5,AVERAGE,EUR,2019-05-16 10:45:59
33806,2019,5,16,2019-05-16 06:00:00.000,PT60M,10Y1001A1001A46L,MBA,SE3 MBA,SE3,Automatic Frequency Restoration Reserve (aFRR),,,,,43.51,40.0,AVERAGE,EUR,2019-05-16 10:45:59
41657,2019,5,16,2019-05-16 07:00:00.000,PT60M,10Y1001A1001A46L,MBA,SE3 MBA,SE3,Automatic Frequency Restoration Reserve (aFRR),,,,,43.44,39.0,AVERAGE,EUR,2019-05-16 12:46:02
63488,2019,5,16,2019-05-16 08:00:00.000,PT60M,10Y1001A1001A46L,MBA,SE3 MBA,SE3,Automatic Frequency Restoration Reserve (aFRR),,,,,42.81,37.75,AVERAGE,EUR,2019-05-16 12:46:02
