,Year,Month,Day,DateTime,ResolutionCode,areacode,AreaTypeCode,AreaName,MapCode,ProductionType,AggregatedInstalledCapacity,DeletedFlag,UpdateTime
108,2019,1,1,2019-01-01 00:00:00.000,P1Y,10YAT-APG------L,BZN,APG BZ,AT,Hydro Water Reservoir,2439.6,0,2018-12-04 12:47:08
109,2019,1,1,2019-01-01 00:00:00.000,P1Y,10YAT-APG------L,BZN,APG BZ,AT,Marine,0.0,0,2018-12-04 12:47:08
110,2019,1,1,2019-01-01 00:00:00.000,P1Y,10YAT-APG------L,BZN,APG BZ,AT,Other renewable,42.3,0,2018-12-04 12:47:08
111,2019,1,1,2019-01-01 00:00:00.000,P1Y,10YAT-APG------L,BZN,APG BZ,AT,Nuclear,0.0,0,2018-12-04 12:47:08
112,2019,1,1,2019-01-01 00:00:00.000,P1Y,10YAT-APG------L,BZN,APG BZ,AT,Solar,1192.7,0,2018-12-04 12:47:08
113,2019,1,1,2019-01-01 00:00:00.000,P1Y,10YAT-APG------L,BZN,APG BZ,AT,Wind Offshore,0.0,0,2018-12-04 12:47:08
107,2019,1,1,2019-01-01 00:00:00.000,P1Y,10YAT-APG------L,BZN,APG BZ,AT,Hydro Run-of-river and poundage,5557.8,0,2018-12-04 12:47:08
351,2020,1,1,2020-01-01 00:00:00.000,P1Y,10YAT-APG------L,BZN,APG BZ,AT,Fossil Coal-derived gas,0.0,0,2019-12-16 09:17:43
352,2020,1,1,2020-01-01 00:00:00.000,P1Y,10YAT-APG------L,BZN,APG BZ,AT,Fossil Oil shale,0.0,0,2019-12-16 09:17:43
356,2020,1,1,2020-01-01 00:00:00.000,P1Y,10YAT-APG------L,BZN,APG BZ,AT,Hydro Run-of-river and poundage,5724.0,0,2019-12-16 09:17:43
362,2020,1,1,2020-01-01 00:00:00.000,P1Y,10YAT-APG------L,BZN,APG BZ,AT,Marine,0.0,0,2019-12-16 09:17:43
359,2020,1,1,2020-01-01 00:00:00.000,P1Y,10YAT-APG------L,BZN,APG BZ,AT,Fossil Gas,4015.3,0,2019-12-16 09:17:43
360,2020,1,1,2020-01-01 00:00:00.000,P1Y,10YAT-APG------L,BZN,APG BZ,AT,Biomass,497.0,0,2019-12-16 09:17:43
350,2020,1,1,2020-01-01 00:00:00.000,P1Y,10YAT-APG------L,BZN,APG BZ,AT,Other,22.8,0,2019-12-16 09:17:43
358,2020,1,1,2020-01-01 00:00:00.000,P1Y,10YAT-APG------L,BZN,APG BZ,AT,Geothermal,0.0,0,2019-12-16 09:17:43
349,2020,1,1,2020-01-01 00:00:00.000,P1Y,10YAT-APG------L,BZN,APG BZ,AT,Hydro Pumped Storage,3120.1,0,2019-12-16 09:17:43
331,2020,1,1,2020-01-01 00:00:00.000,P1Y,10YAT-APG------L,BZN,APG BZ,AT,Fossil Oil,177.9,0,2019-12-16 09:17:42
343,2020,1,1,2020-01-01 00:00:00.000,P1Y,10YAT-APG------L,BZN,APG BZ,AT,Wind Onshore,3133.0,0,2019-12-16 09:17:43
338,2020,1,1,2020-01-01 00:00:00.000,P1Y,10YAT-APG------L,BZN,APG BZ,AT,Fossil Hard coal,246.0,0,2019-12-16 09:17:42
336,2020,1,1,2020-01-01 00:00:00.000,P1Y,10YAT-APG------L,BZN,APG BZ,AT,Fossil Peat,0.0,0,2019-12-16 09:17:42
335,2020,1,1,2020-01-01 00:00:00.000,P1Y,10YAT-APG------L,BZN,APG BZ,AT,Nuclear,0.0,0,2019-12-16 09:17:42
334,2020,1,1,2020-01-01 00:00:00.000,P1Y,10YAT-APG------L,BZN,APG BZ,AT,Other renewable,100.0,0,2019-12-16 09:17:42
333,2020,1,1,2020-01-01 00:00:00.000,P1Y,10YAT-APG------L,BZN,APG BZ,AT,Fossil Brown coal/Lignite,0.0,0,2019-12-16 09:17:42
332,2020,1,1,2020-01-01 00:00:00.000,P1Y,10YAT-APG------L,BZN,APG BZ,AT,Waste,150.0,0,2019-12-16 09:17:42
363,2020,1,1,2020-01-01 00:00:00.000,P1Y,10YAT-APG------L,BZN,APG BZ,AT,Wind Offshore,0.0,0,2019-12-16 09:17:43
347,2020,1,1,2020-01-01 00:00:00.000,P1Y,10YAT-APG------L,BZN,APG BZ,AT,Hydro Water Reservoir,2435.7,0,2019-12-16 09:17:43
368,2020,1,1,2020-01-01 00:00:00.000,P1Y,10YAT-APG------L,BZN,APG BZ,AT,Solar,1333.0,0,2019-12-16 09:17:43
